DateTime,Open,High,Low,Close,Volume,RSI,MACD,MACD_signal,Bollinger_upper,Bollinger_lower,OBV,Tenkan_sen,Kijun_sen,Bullish_Engulfing,Bearish_Engulfing,Hammer,Shooting_Star,DateTime_norm,Range,Gap_Open,Close_vs_Previous_Close,Up_Down_Ratio,Trend_Direction_10,Trend_Direction_5,Price_Momentum,Range_Asymmetry,DayOfWeek,DayOfWeek_sin,DayOfWeek_cos,DayOfMonth,D_PP,D_R1,D_S1,D_R2,D_S2,W_PP,W_R1,W_S1,W_R2,W_S2,M_PP,M_R1,M_S1,M_R2,M_S2,Body_Size,Is_Bullish,Is_Bearish,Trend_Strength,High_vs_PrevHigh,Low_vs_PrevLow,Volatility_Ratio,Volume_Spike,BB_Width,Bar_Type,Bar_Type_Code,GBP_GDP,GBP_Inflation,GBP_Unemployment,GBP_InterestRate,USD_GDP,USD_Inflation,USD_Unemployment,USD_InterestRate
2009-04-15,1.4887,1.5037,1.48215,1.4996,327980,,0.0,0.0,,,0.0,,,0,0,0,0,2009-04-15,0.021549999999999958,,,1090000000.000013,0,0,,2.2900759862480182,2,0.9749279121818236,-0.22252093395631434,15,1.49515,1.5081499999999999,1.4866,1.5167,1.4736,,,,,,,,,,,1.0900000000000132,1,0,50.57769941070091,,,,,,breakout_up,1,393068.0,87.9,7.8,1.35795,14448.882,213.022,9.4,0.18
2009-04-16,1.4996,1.50665,1.48385,1.49255,414766,,-0.05623931623930378,-0.011247863247860757,,,-414766.0,,,0,0,0,0,2009-04-16,0.022800000000000153,0.0,-0.004701253667644706,0.0,0,0,,0.44761901919878816,3,0.43388373911755823,-0.900968867902419,16,1.49435,1.5048500000000002,1.48205,1.5171500000000002,1.47155,,,,,,,,,,,0.7050000000000001,0,1,30.91969650453907,0.002950000000000008,0.0016999999999998128,,,,breakout_down,2,393068.0,87.9,7.8,1.35795,14448.882,213.022,9.4,0.18
2009-04-17,1.49255,1.4936,1.4755,1.47945,354998,,-0.2041619792046978,-0.04983068643922817,,,-769764.0,,,0,0,0,0,2009-04-17,0.018100000000000005,0.0,-0.008776925396134207,0.0,0,0,-0.006050000000000111,0.061583574100669836,4,-0.433883739117558,-0.9009688679024191,17,1.48285,1.4902,1.4721,1.50095,1.46475,,,,,,,,,,,1.3100000000000112,0,1,72.37169217170381,-0.013050000000000006,-0.008349999999999858,,,,breakout_down,2,393068.0,87.9,7.8,1.35795,14448.882,213.022,9.4,0.18
2009-04-19,1.47972,1.481,1.47675,1.4768,8927,,-0.3388687723632655,-0.10763830362403565,,,-778691.0,,,0,0,0,0,2009-04-19,0.004250000000000087,0.00026999999999999247,-0.0017912061914901088,0.0,0,0,0.01045000000000007,0.43097628586663966,6,-0.7818314824680299,0.6234898018587334,19,1.4781833333333332,1.4796166666666664,1.4753666666666663,1.4824333333333333,1.473933333333333,,,,,,,,,,,0.29200000000000337,0,1,68.68972006586624,-0.012599999999999945,0.0012499999999999734,,,,breakout_down,2,393068.0,87.9,7.8,1.35795,14448.882,213.022,9.4,0.18
2009-04-20,1.47685,1.4778,1.44675,1.4481,375420,,-0.6694923992269786,-0.22000912274462425,,,-1154111.0,,,0,0,0,0,2009-04-20,0.031050000000000022,5.0000000000105516e-05,-0.01943391115926324,0.0,0,0,-0.026049999999999907,0.03156146074546662,0,0.0,1.0,20,1.4575500000000001,1.4683500000000003,1.4373000000000002,1.4886000000000001,1.4265,1.4671666666666667,1.4875833333333335,1.4276833333333334,1.5270666666666668,1.4072666666666667,,,,,,2.8750000000000053,0,1,92.58961064055919,-0.0032000000000000917,-0.030000000000000027,1.5882352128779915,,,breakout_down,2,393068.0,87.9,7.8,1.35795,14448.882,213.022,9.4,0.18
2009-04-21,1.4481,1.47075,1.44755,1.46645,393489,,-0.774516694926719,-0.3309106371810432,,,-760622.0,,,0,0,0,0,2009-04-21,0.02320000000000011,0.0,0.012671776810993778,1835000000.0000088,0,-1,0.047050000000000036,41.18174330591759,1,0.7818314824680298,0.6234898018587336,21,1.4615833333333335,1.475616666666667,1.452416666666667,1.4847833333333336,1.4383833333333333,1.4671666666666667,1.4875833333333335,1.4276833333333334,1.5270666666666668,1.4072666666666667,,,,,,1.8350000000000088,1,0,79.09141847334168,-0.007050000000000001,0.0007999999999999119,1.1670019533701241,,,breakout_up,1,393068.0,87.9,7.8,1.35795,14448.882,213.022,9.4,0.18
2009-04-22,1.46645,1.4672,1.4396,1.44955,338589,,-0.9827891010171008,-0.46128632994825475,,,-1099211.0,,,0,0,0,0,2009-04-22,0.02760000000000007,0.0,-0.011524429745303377,0.0,0,-1,-0.035250000000000226,0.027932959853522066,2,0.9749279121818236,-0.22252093395631434,22,1.4521166666666667,1.4646333333333335,1.4370333333333334,1.4797166666666668,1.4245166666666667,1.4671666666666667,1.4875833333333335,1.4276833333333334,1.5270666666666668,1.4072666666666667,,,,,,1.6900000000000137,0,1,61.22966559182672,-0.003549999999999942,-0.007949999999999902,1.3243761360664037,,,breakout_down,2,393068.0,87.9,7.8,1.35795,14448.882,213.022,9.4,0.18
2009-04-23,1.44955,1.4744,1.44415,1.46755,351771,,-0.9911758681703464,-0.5672642375926731,,,-747440.0,,,0,0,0,0,2009-04-23,0.030249999999999888,0.0,0.012417646855920814,1800000000.0000014,0,-1,0.03490000000000015,4.6018509996573576,3,0.43388373911755823,-0.900968867902419,23,1.4620333333333333,1.4799166666666665,1.4496666666666667,1.4922833333333332,1.4317833333333334,1.4671666666666667,1.4875833333333335,1.4276833333333334,1.5270666666666668,1.4072666666666667,,,,,,1.8000000000000016,1,0,59.50216521767903,0.007199999999999873,0.004550000000000054,1.29995697034993,,,breakout_up,1,393068.0,87.9,7.8,1.35795,14448.882,213.022,9.4,0.18
2009-04-24,1.46735,1.4773,1.45755,1.4676,349569,,-0.9860523852485814,-0.6510218671238548,,,-397871.0,1.473125,,0,0,0,0,2009-04-24,0.019750000000000156,-0.00019999999999997797,3.4070389424623025e-05,25000000.00000835,0,-1,-0.01794999999999991,1.0153060188463343,4,-0.433883739117558,-0.9009688679024191,24,1.4674833333333333,1.4774166666666666,1.4576666666666664,1.4872333333333334,1.447733333333333,1.4671666666666667,1.4875833333333335,1.4276833333333334,1.5270666666666668,1.4072666666666667,,,,,,0.02500000000000835,1,0,1.2657586957626525,0.0029000000000001247,0.013399999999999856,0.7489571198726962,,,neutral,0,393068.0,87.9,7.8,1.35795,14448.882,213.022,9.4,0.18
2009-04-26,1.46685,1.4675,1.4633,1.4643,10660,,-0.997125982557745,-0.7202426902106328,,,-408531.0,1.473125,,0,0,0,0,2009-04-26,0.0041999999999999815,-0.0007500000000000284,-0.002248569092395803,0.0,0,1,-0.003350000000000186,0.18309853997225636,6,-0.7818314824680299,0.6234898018587334,26,1.4650333333333334,1.4667666666666668,1.4625666666666668,1.4692333333333334,1.4608333333333334,1.4671666666666667,1.4875833333333335,1.4276833333333334,1.5270666666666668,1.4072666666666667,,,,,,0.2550000000000052,0,1,60.699833373007934,-0.009800000000000031,0.005750000000000144,0.1999999904761897,0.036429884945127784,,breakout_down,2,393068.0,87.9,7.8,1.35795,14448.882,213.022,9.4,0.18
