DateTime,Open,High,Low,Close,Volume,RSI,MACD,MACD_signal,Bollinger_upper,Bollinger_lower,OBV,Tenkan_sen,Kijun_sen,Bullish_Engulfing,Bearish_Engulfing,Hammer,Shooting_Star,DateTime_norm,Range,Gap_Open,Close_vs_Previous_Close,Up_Down_Ratio,Trend_Direction_10,Trend_Direction_5,Price_Momentum,Range_Asymmetry,High_vs_PrevHigh,Low_vs_PrevLow,Volatility_Ratio,Volume_Spike,BB_Width,Bar_Type,Bar_Type_Code,DayOfWeek,DayOfWeek_sin,DayOfWeek_cos,DayOfMonth,D_PP,D_R1,D_S1,D_R2,D_S2,W_PP,W_R1,W_S1,W_R2,W_S2,M_PP,M_R1,M_S1,M_R2,M_S2,Body_Size,Is_Bullish,Is_Bearish,Trend_Strength,EUR_GDP,EUR_Inflation,EUR_Unemployment,EUR_InterestRate,USD_GDP,USD_Inflation,USD_Unemployment,USD_InterestRate
2009-04-15,1.3186,1.3237,1.3146,1.32215,281891,,0.0,0.0,,,0.0,,,0,0,0,0,2009-04-15,0.009100000000000108,,,354999999.99999416,0,0,,1.2749996812501045,,,,,,neutral,0,2,0.9749279121818236,-0.22252093395631434,15,1.32015,1.3256999999999999,1.3165999999999998,1.32925,1.3110499999999998,,,,,,,,,,,0.3549999999999942,1,0,39.00670256015713,0.379587908971952,91.8,9.6,0.7821,14448.882,213.022,9.4,0.18
2009-04-16,1.3223,1.3268,1.31265,1.31855,620895,,-0.02871794871794897,-0.005743589743589794,,,-620895.0,,,0,1,0,0,2009-04-16,0.014149999999999885,0.0001500000000000945,-0.002722837802064687,0.0,0,0,,0.4663211951998739,0.0030999999999998806,-0.0019499999999998963,,,,breakout_down,2,3,0.43388373911755823,-0.900968867902419,16,1.3193333333333335,1.3260166666666668,1.311866666666667,1.3334833333333334,1.3051833333333336,,,,,,,,,,,0.374999999999992,0,1,26.49989400042365,0.379587908971952,91.8,9.6,0.7821,14448.882,213.022,9.4,0.18
2009-04-17,1.31845,1.3193,1.3017,1.3043,576776,,-0.16456570969389794,-0.037508013733651424,,,-1197671.0,,,0,0,0,0,2009-04-17,0.017599999999999838,-0.00010000000000021103,-0.010807326229570433,0.0,0,0,-0.01065000000000027,0.050746265627090205,-0.007500000000000062,-0.010950000000000015,,,,breakout_down,2,4,-0.433883739117558,-0.9009688679024191,17,1.3084333333333333,1.3151666666666666,1.2975666666666668,1.3260333333333332,1.2908333333333335,,,,,,,,,,,1.4149999999999885,0,1,80.3931594795751,0.379587908971952,91.8,9.6,0.7821,14448.882,213.022,9.4,0.18
2009-04-19,1.30577,1.30591,1.3006,1.3007,23932,,-0.29784169667286253,-0.08957475032149365,,,-1221603.0,,,0,0,0,0,2009-04-19,0.005309999999999926,0.0014700000000000824,-0.002760101203710839,0.0,0,0,0.010650000000000048,0.027079298437235062,-0.013390000000000013,-0.001100000000000101,,,,breakout_down,2,6,-0.7818314824680299,0.6234898018587334,19,1.3024033333333334,1.3042066666666667,1.2988966666666668,1.3077133333333333,1.2970933333333334,,,,,,,,,,,0.507000000000013,0,1,95.46224816419131,0.379587908971952,91.8,9.6,0.7821,14448.882,213.022,9.4,0.18
2009-04-20,1.30065,1.3018,1.2891,1.2904,548863,,-0.4810312397854455,-0.16786604821428402,,,-1770466.0,,,0,0,0,0,2009-04-20,0.012700000000000156,-4.999999999988347e-05,-0.00791881294687474,0.0,0,0,-0.006699999999999928,0.09956709094656939,-0.004109999999999836,-0.011500000000000066,1.0788310330588806,,,breakout_down,2,0,0.0,1.0,20,1.2937666666666667,1.2984333333333336,1.2857333333333334,1.3064666666666669,1.2810666666666666,1.3021,1.3151000000000002,1.2774,1.3398,1.2644,,,,,,1.0250000000000092,0,1,80.70230690496786,0.379587908971952,91.8,9.6,0.7821,14448.882,213.022,9.4,0.18
2009-04-21,1.2904,1.29935,1.28965,1.29355,564532,,-0.5939457679815296,-0.2530819921677332,,,-1205934.0,,,0,0,0,0,2009-04-21,0.009700000000000042,0.0,0.002441103533787962,314999999.99999857,0,-1,0.013449999999999962,11.933317422243002,-0.0024500000000000632,0.0005500000000000504,0.8156743343698061,,,breakout_up,1,1,0.7818314824680298,0.6234898018587336,21,1.2941833333333335,1.298716666666667,1.289016666666667,1.3038833333333335,1.2844833333333334,1.3021,1.3151000000000002,1.2774,1.3398,1.2644,,,,,,0.3149999999999986,1,0,32.470879290794485,0.379587908971952,91.8,9.6,0.7821,14448.882,213.022,9.4,0.18
2009-04-22,1.2935,1.3037,1.28845,1.30075,595361,,-0.6182070562493092,-0.32610700498404843,,,-610573.0,,,0,0,0,0,2009-04-22,0.015249999999999986,-4.999999999988347e-05,0.005566077847783306,724999999.9999979,0,-1,0.004050000000000109,2.0198015802373086,0.004350000000000076,-0.0011999999999998678,1.2590817982924538,,,breakout_up,1,2,0.9749279121818236,-0.22252093395631434,22,1.2976333333333334,1.3068166666666667,1.2915666666666668,1.3128833333333334,1.2823833333333334,1.3021,1.3151000000000002,1.2774,1.3398,1.2644,,,,,,0.7249999999999979,1,0,47.5378663694183,0.379587908971952,91.8,9.6,0.7821,14448.882,213.022,9.4,0.18
2009-04-23,1.30065,1.31605,1.29795,1.3125,541904,,-0.5364378996927766,-0.36817318392579407,,,-68669.0,,,0,0,0,0,2009-04-23,0.018100000000000005,-9.999999999998899e-05,0.009033250048049146,1184999999.9999917,0,1,0.004549999999999832,5.703701591221271,0.012349999999999861,0.009499999999999842,1.4821485848224194,,,breakout_up,1,3,0.43388373911755823,-0.900968867902419,23,1.3088333333333333,1.3197166666666666,1.3016166666666666,1.3269333333333333,1.2907333333333333,1.3021,1.3151000000000002,1.2774,1.3398,1.2644,,,,,,1.1849999999999916,1,0,65.46599635379212,0.379587908971952,91.8,9.6,0.7821,14448.882,213.022,9.4,0.18
2009-04-24,1.3125,1.3301,1.31125,1.32395,535700,,-0.37492146193827125,-0.3695228395282895,,,467031.0,1.309275,,0,0,0,0,2009-04-24,0.018850000000000033,0.0,0.008723809523809493,1144999999.999996,0,1,-0.00029999999999996696,14.07998873600936,0.014050000000000118,0.01330000000000009,1.263404741058662,,,breakout_up,1,4,-0.433883739117558,-0.9009688679024191,24,1.3217666666666668,1.3322833333333335,1.3134333333333335,1.3406166666666668,1.3029166666666667,1.3021,1.3151000000000002,1.2774,1.3398,1.2644,,,,,,1.144999999999996,1,0,60.73948331653461,0.379587908971952,91.8,9.6,0.7821,14448.882,213.022,9.4,0.18
2009-04-26,1.3244,1.32458,1.32185,1.32185,20660,,-0.26085677182363654,-0.3477896259873589,,,446371.0,1.309275,,0,0,0,0,2009-04-26,0.0027300000000001212,0.00045000000000006146,-0.0015861626194342618,0.0,0,1,-0.013549999999999951,0.07058820761249322,-0.005519999999999969,0.010599999999999943,0.21120221172813722,0.04792931887009287,,breakout_down,2,6,-0.7818314824680299,0.6234898018587334,26,1.32276,1.32367,1.3209399999999998,1.32549,1.3200299999999998,1.3021,1.3151000000000002,1.2774,1.3398,1.2644,,,,,,0.2550000000000052,0,1,93.37239106554152,0.379587908971952,91.8,9.6,0.7821,14448.882,213.022,9.4,0.18
