DateTime,Open,High,Low,Close,Volume,RSI,MACD,MACD_signal,Bollinger_upper,Bollinger_lower,OBV,Tenkan_sen,Kijun_sen,Bullish_Engulfing,Bearish_Engulfing,Hammer,Shooting_Star,DateTime_norm,Range,Gap_Open,Close_vs_Previous_Close,Up_Down_Ratio,Trend_Direction_10,Trend_Direction_5,Price_Momentum,Range_Asymmetry,High_vs_PrevHigh,Low_vs_PrevLow,Volatility_Ratio,Volume_Spike,BB_Width,Bar_Type,Bar_Type_Code,DayOfWeek,DayOfWeek_sin,DayOfWeek_cos,DayOfMonth,D_PP,D_R1,D_S1,D_R2,D_S2,W_PP,W_R1,W_S1,W_R2,W_S2,M_PP,M_R1,M_S1,M_R2,M_S2,Body_Size,Is_Bullish,Is_Bearish,Trend_Strength,USD_GDP,USD_Inflation,USD_Unemployment,USD_InterestRate,JPY_GDP,JPY_Inflation,JPY_Unemployment,JPY_InterestRate
2009-04-17,99.465,99.755,98.71,99.135,479263,45.045044931417905,-8.176091248127193,4.844448782521154,,,317207.0,99.505,,0,0,0,0,2009-04-17,1.0450000000000017,-0.0049999999999954525,-0.0033678496028952823,0.0,-1,-1,-0.5499999999999972,0.3841059597561356,0.15500000000000114,0.18499999999998806,0.8420628518597414,1.194951743210898,,breakout_down,2,4,-0.433883739117558,-0.9009688679024191,17,99.19833333333334,99.87166666666667,98.79666666666668,100.27333333333333,98.12333333333335,100.355,101.50000000000001,99.27000000000001,102.58500000000001,98.125,,,,,,32.99999999999983,0,1,31.578917149361367,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-04-19,99.16,99.41,99.115,99.31,6244,46.724890715432565,-10.934468734745906,1.6886652790677426,,,323451.0,99.435,,0,0,0,0,2009-04-19,0.2950000000000017,0.024999999999991473,0.0017652695818832617,15000000000.000568,-1,-1,0.5099999999999909,5.555555432098558,-0.34499999999999886,0.40500000000000114,0.26198934257372347,0.018194210080186762,,breakout_up,1,6,-0.7818314824680299,0.6234898018587334,19,99.19833333333334,99.87166666666667,98.79666666666668,100.27333333333333,98.12333333333335,100.355,101.50000000000001,99.27000000000001,102.58500000000001,98.125,,,,,,15.000000000000568,1,0,50.84728526344142,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-04-20,99.305,99.38,97.65,97.76,381220,30.982745621341493,-25.33565373155824,-3.7161985230574537,,,-57769.0,99.1875,,0,0,0,0,2009-04-20,1.7299999999999898,-0.0049999999999954525,-0.015607693082267617,0.0,-1,-1,-1.7249999999999943,0.04531722051641774,-0.030000000000001137,-1.4649999999999892,1.5282685498866841,1.188069441695867,,breakout_down,2,0,0.0,1.0,20,99.27833333333332,99.44166666666665,99.14666666666665,99.57333333333332,98.98333333333332,100.16833333333334,101.02666666666667,99.47166666666668,101.72333333333333,98.61333333333334,,,,,,154.50000000000017,0,1,89.30630675936088,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-04-21,97.76,98.91,97.72,98.52,439729,35.84379351439139,-30.267229968588083,-9.02640481216358,,,381960.0,99.185,,0,0,0,0,2009-04-21,1.1899999999999977,0.0,0.007774140752864063,75999999999.99908,-1,-1,2.309999999999988,28.749999281245312,-0.46999999999999886,0.06999999999999318,1.1152764750559754,1.3669994460240213,,breakout_up,1,1,0.7818314824680298,0.6234898018587336,21,98.26333333333334,98.87666666666667,97.14666666666668,99.99333333333333,96.53333333333335,100.16833333333334,101.02666666666667,99.47166666666668,101.72333333333333,98.61333333333334,,,,,,75.99999999999909,1,0,63.86549255000562,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-04-22,98.52,98.63,97.57,98.055,410989,34.26666660270213,-37.4954765364194,-14.720219157014746,,,-29029.0,99.145,,0,0,0,0,2009-04-22,1.0600000000000023,0.0,-0.0047198538367843,0.0,-1,-1,-1.22499999999998,0.11578947356232593,-0.28000000000000114,-0.15000000000000568,0.9962406005674463,1.1564170483507783,,breakout_down,2,2,0.9749279121818236,-0.22252093395631434,22,98.38333333333333,99.04666666666665,97.85666666666665,99.57333333333332,97.19333333333333,100.16833333333334,101.02666666666667,99.47166666666668,101.72333333333333,98.61333333333334,,,,,,46.49999999999892,0,1,43.86788314350536,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-04-23,98.05,98.435,97.63,97.86,422859,31.25419175887869,-44.28688935695533,-20.63355319700286,,,-451888.0,98.9975,,0,0,0,0,2009-04-23,0.8050000000000068,-0.005000000000009663,-0.001988679822548645,0.0,-1,-1,0.2699999999999818,0.9166666644841354,-0.19499999999999318,0.060000000000002274,0.792322833865831,1.0647677767865142,,neutral,0,3,0.43388373911755823,-0.900968867902419,23,98.085,98.6,97.53999999999999,99.145,97.02499999999999,100.16833333333334,101.02666666666667,99.47166666666668,101.72333333333333,98.61333333333334,,,,,,18.999999999999773,0,1,23.60245515222914,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-04-24,97.86,97.93,96.635,97.15,440134,31.550440021434454,-54.76692060544366,-27.460226678691022,101.58367569912993,97.27432430087008,-892022.0,98.195,,0,0,0,0,2009-04-24,1.2950000000000017,0.0,-0.007255262620069423,0.0,-1,-1,-0.5149999999999864,0.05714285709621621,-0.5049999999999955,-0.9949999999999903,1.064967104387364,1.0541715117845618,0.021670495520504617,breakout_down,2,4,-0.433883739117558,-0.9009688679024191,24,97.97500000000001,98.32000000000002,97.51500000000001,98.78000000000002,97.17,100.16833333333334,101.02666666666667,99.47166666666668,101.72333333333333,98.61333333333334,,,,,,70.99999999999937,0,1,54.82621248941065,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-04-26,96.8,96.88,96.615,96.74,17454,22.482269458900262,-65.62430211801313,-35.093041766555444,101.7434145523753,96.8200854476247,-909476.0,98.185,,0,0,0,0,2009-04-26,0.26500000000000057,-0.3500000000000085,-0.004220277920741233,0.0,-1,-1,0.29999999999998295,0.4324324300949453,-1.0500000000000114,-0.020000000000010232,0.2871072586271861,0.046891421669242074,0.024794733698292937,breakout_down,2,6,-0.7818314824680299,0.6234898018587334,26,97.97500000000001,98.32000000000002,97.51500000000001,98.78000000000002,97.17,100.16833333333334,101.02666666666667,99.47166666666668,101.72333333333333,98.61333333333334,,,,,,6.000000000000227,0,1,22.641423994627246,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-04-27,96.73,97.11,96.27,96.365,516838,22.530206067459247,-76.37439530173111,-43.34931247359058,101.81876609893885,96.35173390106115,-1426314.0,98.01249999999999,,0,0,0,0,2009-04-27,0.8400000000000034,-0.009999999999990905,-0.0038763696506098825,0.0,-1,-1,0.0350000000000108,0.8260869547258737,0.23000000000000398,-0.34499999999999886,0.9847596705923105,1.3840535970697032,0.027587517808263746,neutral,0,0,0.0,1.0,27,96.745,96.87500000000001,96.61000000000001,97.01,96.48,98.61166666666666,99.57333333333332,96.79833333333333,101.38666666666666,95.83666666666667,,,,,,36.50000000000091,0,1,43.452329223418495,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-04-28,96.36,96.705,95.625,96.54,520997,22.47510664087463,-82.53045810604931,-51.185541600082324,101.75093483812817,96.01856516187185,-905317.0,97.5175,,0,0,0,0,2009-04-28,1.0799999999999983,-0.0049999999999954525,0.0018160120375656243,18000000000.000683,-1,-1,0.5500000000000114,0.46938775446341685,-0.40500000000000114,-0.644999999999996,1.260210033535339,1.4329926311849008,0.0289851047618483,breakout_down,2,1,0.7818314824680298,0.6234898018587336,28,96.58166666666666,96.89333333333333,96.05333333333333,97.42166666666667,95.74166666666666,98.61166666666666,99.57333333333332,96.79833333333333,101.38666666666666,95.83666666666667,,,,,,18.000000000000682,1,0,16.66665123458285,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
