DateTime,Open,High,Low,Close,Volume,RSI,MACD,MACD_signal,Bollinger_upper,Bollinger_lower,OBV,Tenkan_sen,Kijun_sen,Bullish_Engulfing,Bearish_Engulfing,Hammer,Shooting_Star,DateTime_norm,Range,Gap_Open,Close_vs_Previous_Close,Up_Down_Ratio,Trend_Direction_10,Trend_Direction_5,Price_Momentum,Range_Asymmetry,DayOfWeek,DayOfWeek_sin,DayOfWeek_cos,DayOfMonth,D_PP,D_R1,D_S1,D_R2,D_S2,W_PP,W_R1,W_S1,W_R2,W_S2,M_PP,M_R1,M_S1,M_R2,M_S2,Body_Size,Is_Bullish,Is_Bearish,Trend_Strength,High_vs_PrevHigh,Low_vs_PrevLow,Volatility_Ratio,Volume_Spike,BB_Width,Bar_Type,Bar_Type_Code,NZD_GDP,NZD_Inflation,NZD_Unemployment,NZD_InterestRate,USD_GDP,USD_Inflation,USD_Unemployment,USD_InterestRate
2009-04-13,0.58825,0.59335,0.5869,0.59195,18460,,0.0,0.0,,,0.0,,,0,0,0,0,2009-04-13,0.006450000000000067,,,369999999.99999255,0,0,,3.777774979425731,0,0.0,1.0,13,0.5907333333333333,0.5945666666666667,0.5881166666666666,0.5971833333333334,0.5842833333333333,0.5907333333333333,0.5945666666666667,0.5881166666666666,0.5971833333333334,0.5842833333333333,,,,,,0.36999999999999256,1,0,57.355448767631174,,,,,,breakout_up,1,85.6151943478589,91.30707,6.2,2.82,14448.882,213.022,9.4,0.18
2009-04-14,0.5919,0.5919,0.58075,0.5822,90761,,-0.07777777777777661,-0.015555555555555323,,,-90761.0,,,0,0,0,0,2009-04-14,0.011149999999999993,-4.999999999999449e-05,-0.01647098572514558,0.0,0,0,,0.0,1,0.7818314824680298,0.6234898018587336,14,0.58495,0.58915,0.578,0.5961,0.5738,0.5907333333333333,0.5945666666666667,0.5881166666666666,0.5971833333333334,0.5842833333333333,,,,,,0.9699999999999931,0,1,86.98771410635761,-0.0014500000000000624,-0.006149999999999989,,,,breakout_down,2,85.6151943478589,91.30707,6.2,2.82,14448.882,213.022,9.4,0.18
2009-04-15,0.58225,0.58355,0.57355,0.57805,122765,,-0.17093383982271781,-0.04663121240898782,,,-213526.0,,,0,0,0,0,2009-04-15,0.010000000000000009,4.999999999999449e-05,-0.007128134661628475,0.0,0,0,0.005599999999999827,0.14942527018099905,2,0.9749279121818236,-0.22252093395631434,15,0.5783833333333334,0.5832166666666667,0.5732166666666667,0.5883833333333334,0.5683833333333334,0.5907333333333333,0.5945666666666667,0.5881166666666666,0.5971833333333334,0.5842833333333333,,,,,,0.42000000000000925,0,1,41.9958004199589,-0.008349999999999969,-0.007199999999999984,,,,breakout_down,2,85.6151943478589,91.30707,6.2,2.82,14448.882,213.022,9.4,0.18
2009-04-16,0.57805,0.57935,0.56775,0.5738,91379,,-0.27587452843546023,-0.09247987561428231,,,-304905.0,,,0,0,0,0,2009-04-16,0.011600000000000055,0.0,-0.007352305163913116,0.0,0,0,-9.999999999987796e-05,0.12621357997927204,3,0.43388373911755823,-0.900968867902419,16,0.5736333333333333,0.5795166666666667,0.5679166666666666,0.5852333333333334,0.5620333333333333,0.5907333333333333,0.5945666666666667,0.5881166666666666,0.5971833333333334,0.5842833333333333,,,,,,0.4249999999999976,0,1,36.634772864407864,-0.0041999999999999815,-0.005800000000000027,,,,breakout_down,2,85.6151943478589,91.30707,6.2,2.82,14448.882,213.022,9.4,0.18
2009-04-17,0.57375,0.5746,0.56482,0.56735,60801,,-0.40640213884789445,-0.15526432826100472,,,-365706.0,,,0,0,0,0,2009-04-17,0.009780000000000011,-4.999999999999449e-05,-0.011240850470547152,0.0,0,0,-0.0021999999999999797,0.09518475977774449,4,-0.433883739117558,-0.9009688679024191,17,0.5689233333333333,0.5730266666666667,0.5632466666666667,0.5787033333333333,0.5591433333333333,0.5907333333333333,0.5945666666666667,0.5881166666666666,0.5971833333333334,0.5842833333333333,,,,,,0.6399999999999961,0,1,65.4329823126465,-0.004750000000000032,-0.002929999999999988,0.9983665783619239,,,breakout_down,2,85.6151943478589,91.30707,6.2,2.82,14448.882,213.022,9.4,0.18
2009-04-19,0.56746,0.57055,0.56615,0.56745,6492,,-0.5032382764775911,-0.224859117904322,,,-359214.0,,,0,0,0,0,2009-04-19,0.0043999999999999595,0.00010999999999994348,0.00017625804177313648,0.0,0,-1,0.006549999999999945,2.3587768253613706,6,-0.7818314824680299,0.6234898018587334,19,0.56805,0.5699500000000001,0.5655500000000001,0.57245,0.5636500000000001,0.5907333333333333,0.5945666666666667,0.5881166666666666,0.5971833333333334,0.5842833333333333,,,,,,0.000999999999995449,0,1,0.22722108611575964,-0.004049999999999998,0.0013300000000000534,0.46878324432311025,,,breakout_up,1,85.6151943478589,91.30707,6.2,2.82,14448.882,213.022,9.4,0.18
2009-04-20,0.56745,0.5686,0.5486,0.5517,69313,,-0.6990131617831574,-0.3196899266800891,,,-428527.0,,,0,0,0,0,2009-04-20,0.020000000000000018,0.0,-0.027755749405234013,0.0,0,-1,-0.01585000000000003,0.06100795432318451,0,0.0,1.0,20,0.5562999999999999,0.5639999999999998,0.5439999999999998,0.5762999999999999,0.5362999999999999,0.5640666666666666,0.5795333333333332,0.5362333333333332,0.6073666666666666,0.5207666666666666,,,,,,1.5750000000000042,0,1,78.7460626968653,-0.0019500000000000073,-0.017550000000000066,1.7927570999679905,,,breakout_down,2,85.6151943478589,91.30707,6.2,2.82,14448.882,213.022,9.4,0.18
2009-04-21,0.5517,0.5656,0.5506,0.5591,70331,,-0.7854007424438425,-0.4128320898328398,,,-358196.0,,,0,0,0,0,2009-04-21,0.015000000000000013,0.0,0.01341308682254862,740000000.0000073,0,-1,0.023150000000000115,12.636352148770913,1,0.7818314824680298,0.6234898018587336,21,0.5584333333333333,0.5662666666666667,0.5512666666666667,0.5734333333333334,0.5434333333333333,0.5640666666666666,0.5795333333333332,0.5362333333333332,0.6073666666666666,0.5207666666666666,,,,,,0.7400000000000073,1,0,49.330044663689534,-0.0030000000000000027,0.0020000000000000018,1.2339584374828532,,,breakout_up,1,85.6151943478589,91.30707,6.2,2.82,14448.882,213.022,9.4,0.18
2009-04-22,0.55875,0.56025,0.55325,0.5552,64894,,-0.8752439951843383,-0.5053144709031395,,,-423090.0,0.570975,,0,0,0,0,2009-04-22,0.007000000000000006,-0.0003500000000000725,-0.0069754963333929785,0.0,0,-1,-0.011300000000000088,0.2727272231405177,2,0.9749279121818236,-0.22252093395631434,22,0.5562333333333335,0.5592166666666669,0.5522166666666669,0.5632333333333335,0.5492333333333335,0.5640666666666666,0.5795333333333332,0.5362333333333332,0.6073666666666666,0.5207666666666666,,,,,,0.3549999999999942,0,1,50.70704185116325,-0.005349999999999966,0.002650000000000041,0.622997452563417,,,breakout_down,2,85.6151943478589,91.30707,6.2,2.82,14448.882,213.022,9.4,0.18
2009-04-23,0.55525,0.5625,0.55265,0.56025,102617,,-0.8953748171868892,-0.5833265401598895,,,-320473.0,0.5702499999999999,,0,0,0,0,2009-04-23,0.009850000000000025,4.999999999999449e-05,0.009095821325648413,500000000.0000004,0,-1,0.008950000000000014,2.788460465976686,3,0.43388373911755823,-0.900968867902419,23,0.5584666666666666,0.5642833333333331,0.5544333333333331,0.5683166666666666,0.5486166666666665,0.5640666666666666,0.5795333333333332,0.5362333333333332,0.6073666666666666,0.5207666666666666,,,,,,0.5000000000000004,1,0,50.75626839914721,0.0022499999999999742,-0.0006000000000000449,0.8755554777284039,1.470551566107231,,breakout_up,1,85.6151943478589,91.30707,6.2,2.82,14448.882,213.022,9.4,0.18
