DateTime,Open,High,Low,Close,Volume,RSI,MACD,MACD_signal,Bollinger_upper,Bollinger_lower,OBV,Tenkan_sen,Kijun_sen,Bullish_Engulfing,Bearish_Engulfing,Hammer,Shooting_Star,DateTime_norm,Range,Gap_Open,Close_vs_Previous_Close,Up_Down_Ratio,Trend_Direction_10,Trend_Direction_5,Price_Momentum,Range_Asymmetry,High_vs_PrevHigh,Low_vs_PrevLow,Volatility_Ratio,Volume_Spike,BB_Width,Bar_Type,Bar_Type_Code,DayOfWeek,DayOfWeek_sin,DayOfWeek_cos,DayOfMonth,D_PP,D_R1,D_S1,D_R2,D_S2,W_PP,W_R1,W_S1,W_R2,W_S2,M_PP,M_R1,M_S1,M_R2,M_S2,Body_Size,Is_Bullish,Is_Bearish,Trend_Strength,EUR_GDP,EUR_Inflation,EUR_Unemployment,EUR_InterestRate,GBP_GDP,GBP_Inflation,GBP_Unemployment,GBP_InterestRate
2009-04-15,0.8909,0.89115,0.8786,0.8815,250626,,0.0,0.0,,,0.0,,,0,0,0,0,2009-04-15,0.01254999999999995,,,0.0,0,0,,0.020325201599574905,,,,,,breakout_down,2,2,0.9749279121818236,-0.22252093395631434,15,0.88375,0.8889,0.8763500000000001,0.8963,0.8712000000000001,,,,,,,,,,,0.9400000000000075,0,1,74.89443072265249,0.379587908971952,91.8,9.6,0.7821,393068.0,87.9,7.8,1.35795
2009-04-16,0.88145,0.88695,0.8792,0.88305,318995,,0.012364672364684193,0.0024729344729368385,,,318995.0,,,0,0,0,0,2009-04-16,0.007750000000000035,-4.999999999999449e-05,0.0017583664208735694,160000000.00000456,0,0,,2.444443358025229,-0.0041999999999999815,0.0005999999999999339,,,,breakout_up,1,3,0.43388373911755823,-0.900968867902419,16,0.8830666666666667,0.8869333333333334,0.8791833333333333,0.8908166666666667,0.8753166666666666,,,,,,,,,,,0.16000000000000458,1,0,20.64249774222731,0.379587908971952,91.8,9.6,0.7821,393068.0,87.9,7.8,1.35795
2009-04-17,0.88305,0.8861,0.87935,0.88125,279586,,0.007552211426875566,0.003488789863724584,,,39409.0,,,0,0,0,0,2009-04-17,0.006750000000000034,0.0,-0.0020383896721590214,0.0,0,0,-0.003350000000000075,0.8243241015340177,-0.0008500000000000174,0.00014999999999998348,,,,neutral,0,4,-0.433883739117558,-0.9009688679024191,17,0.8822333333333333,0.8851166666666667,0.8783666666666666,0.8889833333333333,0.8754833333333333,,,,,,,,,,,0.18000000000000238,0,1,26.662716634572874,0.379587908971952,91.8,9.6,0.7821,393068.0,87.9,7.8,1.35795
2009-04-19,0.88232,0.8825,0.88,0.8804,13474,,-0.003084927044938457,0.002174046481991976,,,25935.0,,,0,0,0,0,2009-04-19,0.0024999999999999467,0.0010700000000000154,-0.0009645390070922183,0.0,0,0,0.0009500000000000064,0.07758617345421784,-0.0036000000000000476,0.0006500000000000394,,,,breakout_down,2,6,-0.7818314824680299,0.6234898018587334,19,0.8809666666666667,0.8819333333333333,0.8794333333333334,0.8834666666666666,0.8784666666666667,,,,,,,,,,,0.19200000000000328,0,1,76.76929228308971,0.379587908971952,91.8,9.6,0.7821,393068.0,87.9,7.8,1.35795
2009-04-20,0.88055,0.8915,0.8794,0.89095,290161,,0.07277583258020748,0.016294403701635075,,,316096.0,,,0,0,0,0,2009-04-20,0.0121,0.0001500000000000945,0.011983189459336734,1039999999.9999964,0,0,0.011400000000000077,9.521730850667954,0.009000000000000008,-0.0006000000000000449,1.4525808580335116,,,breakout_up,1,0,0.0,1.0,20,0.8872833333333333,0.8951666666666667,0.8830666666666667,0.8993833333333333,0.8751833333333333,0.8870166666666667,0.8954333333333333,0.8825333333333334,0.8999166666666666,0.8741166666666668,,,,,,1.0399999999999965,1,0,85.94331047020879,0.379587908971952,91.8,9.6,0.7821,393068.0,87.9,7.8,1.35795
2009-04-21,0.89095,0.8912,0.8814,0.8818,289644,,0.05839009345369739,0.02471354165204754,,,26452.0,,,0,0,0,0,2009-04-21,0.009800000000000031,0.0,-0.010269936584544578,0.0,0,1,-0.01970000000000005,0.026178007730048504,-0.00029999999999996696,0.0020000000000000018,1.2596399409203185,,,breakout_down,2,1,0.7818314824680298,0.6234898018587336,21,0.8847999999999999,0.8881999999999999,0.8783999999999998,0.8946,0.8749999999999999,0.8870166666666667,0.8954333333333333,0.8825333333333334,0.8999166666666666,0.8741166666666668,,,,,,0.9149999999999991,0,1,93.35782063054752,0.379587908971952,91.8,9.6,0.7821,393068.0,87.9,7.8,1.35795
2009-04-22,0.8818,0.8988,0.8813,0.89725,336559,,0.1697016642981275,0.05371116618126354,,,363011.0,,,0,0,0,0,2009-04-22,0.01750000000000007,0.0,0.017520979814016742,1544999999.9999962,0,1,0.024599999999999955,33.999932000132226,0.007600000000000051,-9.999999999998899e-05,1.7985609662321764,,,breakout_up,1,2,0.9749279121818236,-0.22252093395631434,22,0.8924500000000001,0.9036000000000002,0.8861000000000001,0.9099500000000001,0.87495,0.8870166666666667,0.8954333333333333,0.8825333333333334,0.8999166666666666,0.8741166666666668,,,,,,1.5449999999999964,1,0,88.28066967601794,0.379587908971952,91.8,9.6,0.7821,393068.0,87.9,7.8,1.35795
2009-04-23,0.8974,0.8998,0.8911,0.89425,338313,,0.23104603844349425,0.08917814063370968,,,24698.0,,,0,0,0,0,2009-04-23,0.008700000000000041,0.00014999999999998348,-0.0033435497353023155,0.0,0,1,-0.018449999999999966,0.3809523204837712,0.0010000000000000009,0.009800000000000031,0.8596837095174226,,,breakout_down,2,3,0.43388373911755823,-0.900968867902419,23,0.89505,0.899,0.8903,0.90375,0.88635,0.8870166666666667,0.8954333333333333,0.8825333333333334,0.8999166666666666,0.8741166666666668,,,,,,0.3149999999999986,0,1,36.202735317779236,0.379587908971952,91.8,9.6,0.7821,393068.0,87.9,7.8,1.35795
2009-04-24,0.89425,0.9081,0.89355,0.90205,283482,,0.33869708897399375,0.13908193030176652,,,308180.0,0.8933500000000001,,0,0,0,0,2009-04-24,0.014550000000000063,0.0,0.0087223930668158,780000000.0000029,0,1,0.010800000000000032,19.785686020447624,0.008299999999999974,0.002449999999999952,1.1612129959127708,,,breakout_up,1,4,-0.433883739117558,-0.9009688679024191,24,0.9012333333333333,0.9089166666666667,0.8943666666666666,0.9157833333333334,0.8866833333333333,0.8870166666666667,0.8954333333333333,0.8825333333333334,0.8999166666666666,0.8741166666666668,,,,,,0.7800000000000029,1,0,53.604563260256995,0.379587908971952,91.8,9.6,0.7821,393068.0,87.9,7.8,1.35795
2009-04-26,0.90253,0.9033,0.90145,0.9025,11646,,0.42276902783436876,0.19581934980828697,,,319826.0,0.89365,,0,0,0,0,2009-04-26,0.0018500000000000183,0.00048000000000003595,0.0004988636993514223,0.0,0,1,-0.007350000000000079,0.7129623028125712,-0.0048000000000000265,0.007900000000000018,0.17652670071310209,0.048273855267968194,,neutral,0,6,-0.7818314824680299,0.6234898018587334,26,0.9024166666666665,0.9033833333333331,0.9015333333333331,0.9042666666666666,0.9005666666666665,0.8870166666666667,0.8954333333333333,0.8825333333333334,0.8999166666666666,0.8741166666666668,,,,,,0.0030000000000085514,0,1,1.620745542954361,0.379587908971952,91.8,9.6,0.7821,393068.0,87.9,7.8,1.35795
